name,lon_lat,coor_type,category
رضية,"[[43.76421, 17.726054]]",POINT,أسماء رئيسة
زور ال حارث,"[[44.063609, 17.465279]]",POINT,أسماء رئيسة
زور العقارب,"[[44.110816, 17.974877]]",POINT,أسماء رئيسة
زور جونان,"[[43.976104, 17.858062]]",POINT,أسماء رئيسة
سلطانه,"[[45.109134, 18.857238]]",POINT,أسماء رئيسة
شرورة,"[[47.096543, 17.510941]]",POINT,أسماء رئيسة
شعب الشهي,"[[44.134912, 17.453971]]",POINT,أسماء رئيسة
شكمان,"[[43.990288, 17.856388]]",POINT,أسماء رئيسة
شوحطه,"[[43.770261, 17.943614]]",POINT,أسماء رئيسة
صلة - آل جازعة,"[[43.735821, 17.598059]]",POINT,أسماء رئيسة
علبة محظه,"[[43.942223, 17.85862]]",POINT,أسماء رئيسة
غابة سقام,"[[44.199672, 17.48369]]",POINT,أسماء رئيسة
فردة الصدر,"[[43.994837, 17.552376]]",POINT,أسماء رئيسة
قري بني هميم,"[[44.001167, 17.819867]]",POINT,أسماء رئيسة
قطن,"[[44.122403, 18.140616]]",POINT,أسماء رئيسة
لاهومة,"[[44.277542, 17.840509]]",POINT,أسماء رئيسة
لحيفة,"[[43.891754, 17.677796]]",POINT,أسماء رئيسة
مركز بئر عسكر,"[[44.082491, 17.593617]]",POINT,أسماء رئيسة
منطقة الخانق,"[[43.7573, 17.7335]]",POINT,أسماء رئيسة
نجران,"[[44.223833, 17.543063]]",POINT,أسماء رئيسة
نزغه,"[[43.831029, 17.74749]]",POINT,أسماء رئيسة
نعوان,"[[44.337494, 18.180571]]",POINT,أسماء رئيسة
هجرة ال حنش,"[[43.938317, 17.850015]]",POINT,أسماء رئيسة
هجرة ال قبلان,"[[43.879309, 18.11609]]",POINT,أسماء رئيسة
هجرة ال مخلص,"[[44.187484, 18.07251]]",POINT,أسماء رئيسة
هجرة ال مشعل,"[[44.049447, 18.181944]]",POINT,أسماء رئيسة
هجرة الصايف,"[[43.715007, 17.804353]]",POINT,أسماء رئيسة
هجرة الفطحه,"[[44.163043, 18.063326]]",POINT,أسماء رئيسة
هجرة القايمه,"[[44.195187, 18.466623]]",POINT,أسماء رئيسة
هجرت ال ابو فقايا,"[[44.33758, 18.187201]]",POINT,أسماء رئيسة
هجرت ال سالم,"[[43.729105, 17.89381]]",POINT,أسماء رئيسة
هجرت ال عمر,"[[43.884308, 18.109417]]",POINT,أسماء رئيسة
هجرت ال عيد,"[[43.989172, 17.844458]]",POINT,أسماء رئيسة
هجرت ال هجامه,"[[44.500186, 17.822099]]",POINT,أسماء رئيسة
هجرت المنتزه,"[[44.573271, 18.145466]]",POINT,أسماء رئيسة
هدادة,"[[43.764296, 17.603338]]",POINT,أسماء رئيسة
وسط,"[[44.208448, 18.293781]]",POINT,أسماء رئيسة
يدمة,"[[44.204779, 18.536832]]",POINT,أسماء رئيسة
آل شعفه,"[[43.7680671, 17.4681934]]",POINT,أسماء رئيسة
وادي الاثايبه,"[[44.25647, 17.568791]]",POINT,تجمع مياه
وادي الجماة,"[[44.761562, 18.711219]]",POINT,تجمع مياه
وادي الحاير,"[[44.329469, 18.672938]]",POINT,تجمع مياه
وادي الحج,"[[44.194887, 17.566237]]",POINT,تجمع مياه
وادي الدلهوس,"[[43.771505, 17.660201]]",POINT,تجمع مياه
وادي الدلهوس,"[[43.771505, 17.660201]]",POINT,تجمع مياه
وادي الرغام,"[[44.195273, 17.626212]]",POINT,تجمع مياه
وادي السليل,"[[44.252114, 18.504281]]",POINT,تجمع مياه
وادي السليل,"[[44.361227, 18.569019]]",POINT,تجمع مياه
وادي الصلصل,"[[43.75773, 17.649043]]",POINT,تجمع مياه
وادي الصماء,"[[44.457722, 18.343906]]",POINT,تجمع مياه
وادي اللجام,"[[44.291103, 18.648112]]",POINT,تجمع مياه
وادي تريمه,"[[44.126458, 17.872975]]",POINT,تجمع مياه
وادي حبونا,"[[44.551921, 17.794311]]",POINT,تجمع مياه
وادي حصن,"[[43.984623, 17.414038]]",POINT,تجمع مياه
وادي حلاف,"[[44.340649, 18.222156]]",POINT,تجمع مياه
وادي حلال,"[[43.770003, 17.61205]]",POINT,تجمع مياه
وادي حيرور,"[[44.296596, 17.600076]]",POINT,تجمع مياه
وادي ذي حباب,"[[44.1365, 17.610526]]",POINT,تجمع مياه
وادي صلة,"[[44.489758, 17.428071]]",POINT,تجمع مياه
وادي عرفان,"[[44.177313, 17.776823]]",POINT,تجمع مياه
وادي عشر,"[[44.307561, 17.607479]]",POINT,تجمع مياه
وادي عليب,"[[43.766291, 17.659042]]",POINT,تجمع مياه
وادي قطن,"[[44.616444, 17.820446]]",POINT,تجمع مياه
وادي كهلان,"[[43.756743, 17.722106]]",POINT,تجمع مياه
وادي كهلان,"[[44.231193, 17.850766]]",POINT,تجمع مياه
وادي لبو,"[[44.397726, 18.220267]]",POINT,تجمع مياه
وادي مكه,"[[43.711424, 17.731955]]",POINT,تجمع مياه
وادي نجران,"[[44.381032, 17.536132]]",POINT,تجمع مياه
وادي نعوان,"[[44.332366, 18.216512]]",POINT,تجمع مياه
شعب استن,"[[44.01372, 17.811348]]",POINT,تجمع مياه
شعب ال هادي,"[[43.963895, 17.774377]]",POINT,تجمع مياه
شعب المحوي,"[[43.931494, 17.687666]]",POINT,تجمع مياه
شعب بران,"[[44.083178, 17.485321]]",POINT,تجمع مياه
شعب بني هميم,"[[44.196153, 17.84405]]",POINT,تجمع مياه
شعب عشر,"[[43.765969, 17.59572]]",POINT,تجمع مياه
شعيب القمراء,"[[44.08777, 17.498689]]",POINT,تجمع مياه
شعيب ظلم,"[[44.347901, 17.470858]]",POINT,تجمع مياه
سد ابو رشاش,"[[44.205873, 17.626362]]",POINT,تجمع مياه
سد ال عمره,"[[43.711038, 17.811756]]",POINT,تجمع مياه
سد هداده,"[[43.73138, 17.595184]]",POINT,تجمع مياه
سد وادي نعوان,"[[44.327495, 18.22222]]",POINT,تجمع مياه
سد وادي نجران,"[[44.013952, 17.407749]]",POINT,تجمع مياه
وادي ظلمة,"[[43.7634578, 17.4799563]]",POINT,تجمع مياه
جبال السوادة,"[[44.441371, 19.27386]]",POINT,جبال
جبال الوجد,"[[44.456992, 19.13166]]",POINT,جبال
جبل ابو خطين,"[[44.288313, 17.83139]]",POINT,جبال
جبل الاحمر,"[[44.152701, 17.444057]]",POINT,جبال
جبل التامتين,"[[44.374294, 17.43365]]",POINT,جبال
جبل الحشرج,"[[44.264882, 17.49517]]",POINT,جبال
جبل الخارش,"[[44.10779, 17.59984]]",POINT,جبال
جبل الخزان,"[[44.143324, 17.503281]]",POINT,جبال
جبل الخضراء,"[[44.419849, 17.533472]]",POINT,جبال
جبل الخنجر,"[[43.663359, 17.504911]]",POINT,جبال
جبل الراس,"[[44.150362, 17.622414]]",POINT,جبال
جبل الرداة,"[[44.417939, 17.459593]]",POINT,جبال
جبل الرقاق,"[[44.269731, 17.580442]]",POINT,جبال
جبل الزرقاء,"[[44.70279, 18.723342]]",POINT,جبال
جبل الزغيرع,"[[47.259064, 17.644043]]",POINT,جبال
جبل الزقم,"[[43.900251, 17.551603]]",POINT,جبال
جبل السواده,"[[44.404764, 17.94857]]",POINT,جبال
جبل السودة,"[[44.366355, 17.615247]]",POINT,جبال
جبل العشاء,"[[44.188471, 17.465601]]",POINT,جبال
جبل القفل,"[[44.807911, 17.469292]]",POINT,جبال
جبل اللصة,"[[44.382427, 19.128742]]",POINT,جبال
جبل المرحى,"[[44.208598, 17.432449]]",POINT,جبال
