city,branch_postal_code,building_number,lat,lon,subtype_name,branch_id,brand_name_en,brand_name_ar,brand_logo_link,brand_website,brand_size,brand_price_range,brand_instagram_link,brand_type,brand_categories,branch_rating,branch_status,branch_opening_hours,branch_amenities,branch_accessibility_facilities,branch_national_short_address,branch_payment_methods,branch_phone_number,street_aname,street_ename,district,branch_reviews
الرياض,13521.0,,24.7903142856034,46.6215075026682,Other,,,,,,,,,,,,,,,,RRMA3734,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.7987686400232,46.6216787877942,Trading Center,,,,,,,,,,,,,,,,RRMA3739,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7987165,46.6218882000001,Trading Center,,,,,,,,,,,,,,,,RRMA3763,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7988543006195,46.6219214928169,Other,,,,,,,,,,,,,,,,RRMA3763,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7994544800005,46.622079568343,Trading Center,,,,,,,,,,,,,,,,RRME3772,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7994598,46.6221507,Trading Center,,,,,,,,,,,,,,,,RRME3772,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7957569248188,46.6223044670658,Furnished Apartment,,,,,,,,,,,,,,,,RRMB3800,,,العمرة,Al Umrah,,
الرياض,13521.0,,24.7959520406214,46.6227042165148,Furnished Apartment,,,,,,,,,,,,,,,,RRMB3852,,,العمرة,Al Umrah,,
الرياض,13521.0,,24.7908399977695,46.622810257569,Fast Food,,,,,,,,,,,,,,,,RRMF3860,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.807246996678,46.6231635318042,Friday Mosque,,,,,,,,,,,,,,,,RRMB3860,,,ممر82,82 Ln,,
الرياض,13521.0,,24.7993920588068,46.6230731519439,Furnished Apartment,,,,,,,,,,,,,,,,RRMD3883,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7954000056681,46.6232514925462,Garden,,,,,,,,,,,,,,,,RRME3906,,,الحماسة,Al Hamaseih,,
الرياض,13521.0,,24.7911377,46.6233845,Phamacy with Home Delevery,,,,,,,,,,,,,,,,RRME3914,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.80006838094,46.6233644772864,Furnished Apartment,,,,,,,,,,,,,,,,RRMB3914,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7995062729351,46.623487178159,Hotel Suite,,,,,,,,,,,,,,,,RRMD3921,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7912950696869,46.6238810150218,Other,,,,,,,,,,,,,,,,RRMC3970,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.796584977249,46.6243127321549,Hotel,,,,,,,,,,,,,,,,RRMD3994,,,العمرة,Al Umrah,,
الرياض,13521.0,,24.7914794779149,46.6242587544564,Other,,,,,,,,,,,,,,,,RRMD4000,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.7913753764959,46.6240981408385,Other,,,,,,,,,,,,,,,,RRMD4000,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.7961234,46.6244621000001,Trading Center,,,,,,,,,,,,,,,,RRMC4027,,,العمرة,Al Umrah,,
الرياض,13521.0,,24.8000487900444,46.6246721497399,Hotel Suite,,,,,,,,,,,,,,,,RRMD4039,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.7917590645831,46.6247465439626,Gas Station,,,,,,,,,,,,,,,,RRMA4046,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.7917949,46.6245144000001,Trading Center,,,,,,,,,,,,,,,,RRMA4046,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.8006680051136,46.6248492609541,Local Restaurant,,,,,,,,,,,,,,,,RRMC4054,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.802090704678,46.6251658482408,Hotel,,,,,,,,,,,,,,,,RRMD4075,,,وادي نوار,Wadi Nawar,,
الرياض,nan,,24.7918750034153,46.6251240239067,Money Transfer Center,,,,,,,,,,,,,,,,nan,,,nan,nan,,
الرياض,13521.0,,24.7965469058729,46.6253311414657,Hotel,,,,,,,,,,,,,,,,RRMA4115,,,العمرة,Al Umrah,,
الرياض,13521.0,,24.8009202279802,46.6254774386597,Hotel Suite,,,,,,,,,,,,,,,,RRMA4118,,,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,,
الرياض,13521.0,,24.792001055779,46.6253712304286,Money Transfer Center,,,,,,,,,,,,,,,,RRMB4120,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
الرياض,13521.0,,24.8022334723383,46.6254394862565,Hotel,,,,,,,,,,,,,,,,RRMB4129,,,وادي نوار,Wadi Nawar,,
الرياض,13521.0,,24.7921189580603,46.6256953540389,Trading Center,,,,,,,,,,,,,,,,RRMB4146,,,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,,
