name,lon_lat,coor_type,category
المقطر,"[[41.409445, 20.06361]]",POINT,أسماء ثانوية
الملحة,"[[41.366572, 19.951322]]",POINT,أسماء ثانوية
الناب الحمر,"[[41.334257, 20.042903]]",POINT,أسماء ثانوية
النحره,"[[41.217785, 20.318871]]",POINT,أسماء ثانوية
النصلة,"[[41.263425, 20.309773]]",POINT,أسماء ثانوية
النغيه,"[[41.223428, 19.443161]]",POINT,أسماء ثانوية
الهبيره,"[[40.893796, 20.07067]]",POINT,أسماء ثانوية
الواحين,"[[41.195533, 20.27559]]",POINT,أسماء ثانوية
ام الريحان,"[[41.083567, 20.025394]]",POINT,أسماء ثانوية
ام العقارب,"[[40.961108, 20.091398]]",POINT,أسماء ثانوية
الباحة,"[[41.466694, 20.012305]]",POINT,أسماء رئيسة
احمار,"[[41.325138, 19.967372]]",POINT,أسماء رئيسة
احمار,"[[41.264348, 19.999988]]",POINT,أسماء رئيسة
اريمة,"[[41.376936, 20.170684]]",POINT,أسماء رئيسة
ال جحاف,"[[41.206176, 20.363009]]",POINT,أسماء رئيسة
ال جميل,"[[41.336446, 19.973509]]",POINT,أسماء رئيسة
ال حماطان,"[[41.375799, 20.144806]]",POINT,أسماء رئيسة
ال حمامة,"[[41.23141, 20.137854]]",POINT,أسماء رئيسة
ال خاجة,"[[41.223407, 20.289474]]",POINT,أسماء رئيسة
ال دغمان,"[[41.321962, 20.239005]]",POINT,أسماء رئيسة
ال دغمان,"[[41.403694, 20.20802]]",POINT,أسماء رئيسة
ال دكنان,"[[41.21506, 19.99074]]",POINT,أسماء رئيسة
ال رداد,"[[41.287286, 20.024257]]",POINT,أسماء رئيسة
ال زارع,"[[41.668653, 19.847746]]",POINT,أسماء رئيسة
ال زاهي,"[[41.419229, 20.0402]]",POINT,أسماء رئيسة
ال زرعان,"[[41.332498, 20.189137]]",POINT,أسماء رئيسة
ال زنان,"[[41.355672, 20.216753]]",POINT,أسماء رئيسة
ال زياد,"[[41.40451, 20.30061]]",POINT,أسماء رئيسة
ال فارعة,"[[41.227097, 20.299237]]",POINT,أسماء رئيسة
ال مقرن,"[[41.720388, 19.804165]]",POINT,أسماء رئيسة
بني هلال,"[[41.637497, 19.826202]]",POINT,أسماء رئيسة
الأزاهرة,"[[41.73646, 19.823241]]",POINT,أسماء رئيسة
الأوقع,"[[41.203666, 19.829614]]",POINT,أسماء رئيسة
الإشيرة,"[[41.326275, 20.005245]]",POINT,أسماء رئيسة
الاثمد,"[[41.449935, 20.067408]]",POINT,أسماء رئيسة
الاطاولة,"[[41.35726, 20.272887]]",POINT,أسماء رئيسة
البارك,"[[41.416783, 20.027111]]",POINT,أسماء رئيسة
البدلة,"[[41.318915, 19.96866]]",POINT,أسماء رئيسة
البركة,"[[41.551001, 19.8665]]",POINT,أسماء رئيسة
البكير,"[[41.608486, 19.8456]]",POINT,أسماء رئيسة
البنان,"[[41.232269, 19.520516]]",POINT,أسماء رئيسة
البنيه,"[[41.361101, 19.819722]]",POINT,أسماء رئيسة
الثراوين,"[[41.299839, 20.291018]]",POINT,أسماء رئيسة
الثلوث,"[[41.375263, 19.443762]]",POINT,أسماء رئيسة
الثودة,"[[41.985154, 20.449097]]",POINT,أسماء رئيسة
الجادية,"[[41.444206, 20.047603]]",POINT,أسماء رئيسة
الجاوة,"[[41.911962, 20.29325]]",POINT,أسماء رئيسة
الجبلات,"[[41.250679, 20.704336]]",POINT,أسماء رئيسة
الجحافين,"[[41.653676, 19.841094]]",POINT,أسماء رئيسة
الجدية,"[[41.45324, 20.052044]]",POINT,أسماء رئيسة
الجرة,"[[41.420903, 20.036016]]",POINT,أسماء رئيسة
الجريرة,"[[41.276622, 20.344963]]",POINT,أسماء رئيسة
الجرين,"[[40.928085, 20.110023]]",POINT,أسماء رئيسة
الجفدرة,"[[41.62312, 20.475554]]",POINT,أسماء رئيسة
الجلحية,"[[41.566451, 19.850492]]",POINT,أسماء رئيسة
الجنابين,"[[41.705689, 19.958704]]",POINT,أسماء رئيسة
الجهامة,"[[41.408265, 20.033119]]",POINT,أسماء رئيسة
الجوفاء,"[[41.037519, 20.01327]]",POINT,أسماء رئيسة
الحامر,"[[41.571322, 19.94364]]",POINT,أسماء رئيسة
الحاوي,"[[41.033335, 19.990611]]",POINT,أسماء رئيسة
الحبشي,"[[41.465449, 20.047174]]",POINT,أسماء رئيسة
الحجرة,"[[41.44367, 20.086935]]",POINT,أسماء رئيسة
الحدب,"[[41.553876, 19.949734]]",POINT,أسماء رئيسة
الحدب,"[[41.599989, 19.839571]]",POINT,أسماء رئيسة
الحريقة,"[[40.913258, 20.108414]]",POINT,أسماء رئيسة
الحسمة,"[[41.33312, 20.298936]]",POINT,أسماء رئيسة
الحسن,"[[41.348698, 20.300353]]",POINT,أسماء رئيسة
الحشرج,"[[41.581192, 20.408263]]",POINT,أسماء رئيسة
الحصياء,"[[41.025975, 19.941623]]",POINT,أسماء رئيسة
الحضن,"[[41.047389, 19.88946]]",POINT,أسماء رئيسة
الحضيري,"[[41.406312, 20.28029]]",POINT,أسماء رئيسة
الحكمان,"[[41.355565, 20.207012]]",POINT,أسماء رئيسة
الحمران,"[[41.587543, 19.828219]]",POINT,أسماء رئيسة
الحمضة,"[[41.567802, 20.283959]]",POINT,أسماء رئيسة
الحنكه,"[[41.198795, 20.139656]]",POINT,أسماء رئيسة
الخليف,"[[41.225638, 19.962008]]",POINT,أسماء رئيسة
الدارين,"[[41.410818, 20.028226]]",POINT,أسماء رئيسة
الدعابة,"[[41.299174, 20.258467]]",POINT,أسماء رئيسة
الدهامشة,"[[41.565485, 19.943941]]",POINT,أسماء رئيسة
الربحة,"[[41.333914, 20.286877]]",POINT,أسماء رئيسة
الربض,"[[41.581771, 20.385196]]",POINT,أسماء رئيسة
الربوة,"[[41.66522, 20.51862]]",POINT,أسماء رئيسة
الرسن,"[[41.436224, 20.06288]]",POINT,أسماء رئيسة
الرطمة,"[[41.267867, 20.016897]]",POINT,أسماء رئيسة
الرهوان,"[[41.174741, 20.224457]]",POINT,أسماء رئيسة
الرهوه,"[[41.713865, 19.957995]]",POINT,أسماء رئيسة
الزرقاء,"[[41.288767, 20.10129]]",POINT,أسماء رئيسة
السحيمة,"[[41.703265, 19.964218]]",POINT,أسماء رئيسة
السحينات,"[[41.269112, 19.93319]]",POINT,أسماء رئيسة
السد,"[[41.622477, 19.867938]]",POINT,أسماء رئيسة
السيار,"[[41.580398, 19.93907]]",POINT,أسماء رئيسة
الشطيبة,"[[41.599023, 19.853218]]",POINT,أسماء رئيسة
الشعثي,"[[41.412191, 20.104229]]",POINT,أسماء رئيسة
الشلاوا,"[[41.290891, 20.619514]]",POINT,أسماء رئيسة
الشوال,"[[41.29117, 19.806676]]",POINT,أسماء رئيسة
الشوق,"[[41.384704, 19.705782]]",POINT,أسماء رئيسة
الشوق,"[[41.413994, 19.724236]]",POINT,أسماء رئيسة
الصعدان,"[[41.294131, 20.306876]]",POINT,أسماء رئيسة
الصفح,"[[41.312542, 20.081463]]",POINT,أسماء رئيسة
الصقاع,"[[41.554842, 19.85384]]",POINT,أسماء رئيسة
الصليلة,"[[41.135709, 20.250721]]",POINT,أسماء رئيسة
الضبيعات,"[[41.397922, 20.334985]]",POINT,أسماء رئيسة
الضحوات,"[[41.278961, 20.365798]]",POINT,أسماء رئيسة
الضرس,"[[41.439528, 19.85266]]",POINT,أسماء رئيسة
الطلقية,"[[41.59544, 19.865684]]",POINT,أسماء رئيسة
الطولة,"[[41.290998, 19.935594]]",POINT,أسماء رئيسة
الطيف,"[[41.219158, 20.015202]]",POINT,أسماء رئيسة
الظفير,"[[41.553962, 19.94334]]",POINT,أسماء رئيسة
العبادل,"[[41.560056, 19.94276]]",POINT,أسماء رئيسة
العباس,"[[41.49328, 19.965141]]",POINT,أسماء رئيسة
العذبة,"[[41.227033, 20.30488]]",POINT,أسماء رئيسة
العريش,"[[41.355135, 19.571757]]",POINT,أسماء رئيسة
العسلة,"[[41.579454, 19.883795]]",POINT,أسماء رئيسة
العشيرة,"[[41.335394, 19.508736]]",POINT,أسماء رئيسة
العصفرة,"[[41.65138, 19.973273]]",POINT,أسماء رئيسة
العفوص,"[[41.366079, 20.060177]]",POINT,أسماء رئيسة
العقب,"[[41.202078, 20.2039]]",POINT,أسماء رئيسة
العقيق,"[[41.660714, 20.271814]]",POINT,أسماء رئيسة
العمارة,"[[41.279368, 19.861543]]",POINT,أسماء رئيسة
العواصية,"[[41.177938, 19.607077]]",POINT,أسماء رئيسة
العودة,"[[41.160858, 19.531267]]",POINT,أسماء رئيسة
الغرباء,"[[41.35505, 20.132275]]",POINT,أسماء رئيسة
الغصنة,"[[41.380627, 19.890554]]",POINT,أسماء رئيسة
الفاتحة,"[[41.038034, 19.964883]]",POINT,أسماء رئيسة
الفراع,"[[41.22287, 20.390818]]",POINT,أسماء رئيسة
الفرشة,"[[41.617971, 19.874375]]",POINT,أسماء رئيسة
القرن,"[[41.207979, 20.213749]]",POINT,أسماء رئيسة
القرن,"[[41.424594, 20.110967]]",POINT,أسماء رئيسة
القرى,"[[41.36183, 20.243661]]",POINT,أسماء رئيسة
القرى,"[[41.583767, 19.887614]]",POINT,أسماء رئيسة
القرية الوسطى,"[[41.423285, 19.837124]]",POINT,أسماء رئيسة
القرين,"[[41.277051, 20.01209]]",POINT,أسماء رئيسة
القزه,"[[41.434894, 19.768202]]",POINT,أسماء رئيسة
القصباء,"[[41.347582, 20.036573]]",POINT,أسماء رئيسة
القصيباء,"[[41.350243, 19.544077]]",POINT,أسماء رئيسة
القفيل,"[[41.426396, 19.798222]]",POINT,أسماء رئيسة
القليتة,"[[41.567008, 19.941387]]",POINT,أسماء رئيسة
الكدا,"[[41.295698, 19.794681]]",POINT,أسماء رئيسة
الكدفة,"[[41.575205, 19.94276]]",POINT,أسماء رئيسة
الكرا,"[[41.506391, 20.065026]]",POINT,أسماء رئيسة
الكيله,"[[41.364856, 19.817576]]",POINT,أسماء رئيسة
المحاويه,"[[41.32606, 20.319707]]",POINT,أسماء رئيسة
المخواة,"[[41.437533, 19.7505]]",POINT,أسماء رئيسة
المدان,"[[41.547053, 19.857037]]",POINT,أسماء رئيسة
المرباة,"[[41.679275, 19.846394]]",POINT,أسماء رئيسة
المزرع,"[[41.54877, 20.09305]]",POINT,أسماء رئيسة
المزرع,"[[41.572888, 20.085604]]",POINT,أسماء رئيسة
المطرية,"[[41.4026, 20.49669]]",POINT,أسماء رئيسة
المليج,"[[41.02531, 20.011189]]",POINT,أسماء رئيسة
المندحة,"[[41.315117, 20.315373]]",POINT,أسماء رئيسة
المندق,"[[41.283531, 20.157852]]",POINT,أسماء رئيسة
النطاف,"[[41.573939, 19.951279]]",POINT,أسماء رئيسة
النعامة,"[[41.248383, 20.188494]]",POINT,أسماء رئيسة
النعرة,"[[41.474977, 20.573981]]",POINT,أسماء رئيسة
الهسر,"[[41.365178, 20.297821]]",POINT,أسماء رئيسة
الوحشة,"[[41.33239, 20.018077]]",POINT,أسماء رئيسة
ام غيث,"[[41.54877, 19.88313]]",POINT,أسماء رئيسة
بالحكم,"[[41.282866, 20.10807]]",POINT,أسماء رئيسة
بطحان,"[[41.401119, 20.23701]]",POINT,أسماء رئيسة
بلجرشي,"[[41.572094, 19.866414]]",POINT,أسماء رئيسة
بني سار,"[[41.443112, 20.097406]]",POINT,أسماء رئيسة
بني سليم,"[[41.172187, 20.065584]]",POINT,أسماء رئيسة
بني شرفاء,"[[41.431332, 19.729493]]",POINT,أسماء رئيسة
بني عامر,"[[41.559091, 19.873216]]",POINT,أسماء رئيسة
بني عبيد,"[[41.542847, 19.86753]]",POINT,أسماء رئيسة
بني كبير,"[[41.654427, 19.99604]]",POINT,أسماء رئيسة
بني محمد,"[[41.356852, 20.255356]]",POINT,أسماء رئيسة
بني هريرة,"[[41.400411, 20.018055]]",POINT,أسماء رئيسة
بني والية,"[[41.560893, 19.949091]]",POINT,أسماء رئيسة
بوا,"[[41.240959, 20.748603]]",POINT,أسماء رئيسة
بيضان,"[[41.408522, 20.025737]]",POINT,أسماء رئيسة
جدارة,"[[41.475985, 20.069125]]",POINT,أسماء رئيسة
جرب,"[[41.928957, 20.440857]]",POINT,أسماء رئيسة
جرداء بن علي,"[[41.144421, 20.245614]]",POINT,أسماء رئيسة
جفن,"[[41.6243, 20.249605]]",POINT,أسماء رئيسة
حداب صياح,"[[41.063204, 20.239992]]",POINT,أسماء رئيسة
حزنة,"[[41.551366, 19.840729]]",POINT,أسماء رئيسة
حصن الحبس,"[[41.354234, 19.96866]]",POINT,أسماء رئيسة
حضرم,"[[41.214888, 20.211625]]",POINT,أسماء رئيسة
حناك الرين,"[[41.140215, 20.003593]]",POINT,أسماء رئيسة
حوالة,"[[41.732426, 19.791527]]",POINT,أسماء رئيسة
دقة الثانية,"[[40.957074, 19.645979]]",POINT,أسماء رئيسة
رسبة,"[[41.32164, 20.123734]]",POINT,أسماء رئيسة
رغدان,"[[41.449699, 20.033784]]",POINT,أسماء رئيسة
رهوة البر,"[[41.447403, 20.052688]]",POINT,أسماء رئيسة
سعدي,"[[41.147897, 20.106418]]",POINT,أسماء رئيسة
سيال,"[[41.4344, 19.791741]]",POINT,أسماء رئيسة
شبرقة,"[[41.393094, 20.120859]]",POINT,أسماء رئيسة
صبياء,"[[41.162724, 19.40001]]",POINT,أسماء رئيسة
صخوان,"[[41.683717, 20.024557]]",POINT,أسماء رئيسة
صدعا الاثرية,"[[41.454742, 19.951773]]",POINT,أسماء رئيسة
عالقة,"[[41.581085, 19.912548]]",POINT,أسماء رئيسة
عرفة,"[[41.448133, 20.101418]]",POINT,أسماء رئيسة
عشره,"[[41.075478, 19.878366]]",POINT,أسماء رئيسة
عليب,"[[40.906069, 20.112834]]",POINT,أسماء رئيسة
