city,neighborhood_aname,neighborhood_ename,type,subtype_name,point_aname,point_ename,postal_code,building_no,additional_no,short_address,street_aname,street_ename,CentroidX,CentroidY
الرياض,الملقا,AL-MALQA,Hotel,Hotel,فندق 180 درجه,hotel 180 degrees,13521,3700,7440,RRMF3700,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6213133818992,24.7992879177302
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,دار النعمة للخضروات و الفواكه,Dar Al Naama For Vegetables And Fruits,13521,3706,6453,RRMB3706,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6211892000001,24.7901908000002
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,تموينات وادي نوار,Wadi Nawar Grocery,13521,3710,7650,RRMC3710,وادي نوار,Wadi Nawar,46.6213906000001,24.8010116
الرياض,الملقا,AL-MALQA,Hotel,Hotel,نزهة المكان,nuzhat almakan,13521,3711,7373,RRMC3711,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6213313864874,24.7985735242207
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,توماهوك,tomahawk,13521,3734,6466,RRMA3734,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6216562189811,24.7903373366321
الرياض,الملقا,AL-MALQA,Restaurant,Other,خيال الماضي,khial almadi,13521,3734,6466,RRMA3734,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6215075026682,24.7903142856034
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,محل خضار,khadar,13521,3739,7385,RRMA3739,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6216787877942,24.7987686400232
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,خضار وفاكة وتمور,Vegetable Shop,13521,3763,7398,RRMA3763,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6218882000001,24.7987165
الرياض,الملقا,AL-MALQA,Commercial,Other,مشغل غداف نجد 2,ghadaf najid,13521,3763,7398,RRMA3763,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6219214928169,24.7988543006195
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,اسواق النموذجية,alnnamudhajia,13521,3772,7479,RRME3772,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.622079568343,24.7994544800005
الرياض,الملقا,AL-MALQA,Commercial,Trading Center,عايض للخضراوات والفواكه,Aiyedh Vegetables And Fruits,13521,3772,7479,RRME3772,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6221507,24.7994598
الرياض,الملقا,AL-MALQA,Hotel,Furnished Apartment,مساكن النايفات للوحدات السكنية المفروشة,homes housing units furnished nayifat,13521,3800,7067,RRMB3800,العمرة,Al Umrah,46.6223044670658,24.7957569248188
الرياض,الملقا,AL-MALQA,Hotel,Furnished Apartment,نزهة المكان للوحدات السكنية المفروشة,nuzhat almakan furnished residential units,13521,3852,7085,RRMB3852,العمرة,Al Umrah,46.6227042165148,24.7959520406214
الرياض,الملقا,AL-MALQA,Restaurant,Fast Food,مطعم بودي برجر,boodis burger,13521,3860,6531,RRMF3860,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.622810257569,24.7908399977695
الرياض,الملقا,AL-MALQA,Religious,Friday Mosque,جامع الامير فيصل بن فهد,al amir faysal bin fahd friday mosque,13521,3860,8317,RRMB3860,ممر82,82 Ln,46.6231635318042,24.807246996678
الرياض,الملقا,AL-MALQA,Hotel,Furnished Apartment,داريا للشقق المفروشة,dariaan,13521,3883,7458,RRMD3883,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6230731519439,24.7993920588068
الرياض,الملقا,AL-MALQA,Park Green Area,Garden,حديقة الملقا,almlqa garden,13521,3906,7006,RRME3906,الحماسة,Al Hamaseih,46.6232514925462,24.7954000056681
الرياض,الملقا,AL-MALQA,Pharmacy,Phamacy with Home Delevery,صيدلية الدواء(توصيل),Al-Dawaa Pharmacy(Delivery),13521,3914,6557,RRME3914,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6233845,24.7911377
الرياض,الملقا,AL-MALQA,Hotel,Furnished Apartment,امار للوحدات السكنية المفروشة,amar,13521,3914,7541,RRMB3914,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.6233644772864,24.80006838094
الرياض,الملقا,AL-MALQA,Hotel,Hotel Suite,الرحاب إن,alrrahab 'inn,13521,3921,7476,RRMD3921,محمد بن عبدالعزيز الدغيثر,Muhammad Ibn Abdulaziz Al Deghethr,46.623487178159,24.7995062729351
الرياض,الملقا,AL-MALQA,Commercial,Other,مشغل خطوط الليلي,khutut alllayli,13521,3970,6580,RRMC3970,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6238810150218,24.7912950696869
الرياض,الملقا,AL-MALQA,Hotel,Hotel,فندق دولين,dolphin hotel,13521,3994,7167,RRMD3994,العمرة,Al Umrah,46.6243127321549,24.796584977249
الرياض,الملقا,AL-MALQA,Auto-Service,Other,نجمكراج سيارات,najam car workshop,13521,4000,6593,RRMD4000,طريق الامام سعود بن فيصل الفرعي,Al Imam Saud Ibn Faisal Branch Rd,46.6242587544564,24.7914794779149
