branch_national_short_address,building_number,street,district,city,postal_code,latitude,longitude
RUKA3529,3529.0,,مطار الملك خالد,الرياض,13442.0,24.88952818,46.69292734
RUKA4075,4075.0,المطار,مطار الملك خالد,الرياض,13443.0,24.92449848,46.71664987
RUKB7447,7447.0,طريق المطار,مطار الملك خالد,الرياض,13455.0,24.94234150,46.71190097
RUKB7447,7447.0,طريق المطار,مطار الملك خالد,الرياض,13455.0,24.94234150,46.71190097
RUKA6687,6687.0,المطار,مطار الملك خالد,الرياض,13458.0,24.95576501,46.70571903
RUKA6983,6983.0,المطار,مطار الملك خالد,الرياض,13458.0,24.95841288,46.70401450
RUKA7563,7563.0,المطار,مطار الملك خالد,الرياض,13458.0,24.96374116,46.70070569
RMHA3635,3635.0,ابي المعالي الطاهري,حي الحائر,الرياض,14581.0,24.40648686,46.84158636
RMHA9155,9155.0,الحائر,حي الحائر,الرياض,14581.0,24.41207425,46.83809669
OMDA4462,4462.0,سلمان بن عبدالعزيز,حي نواره,المزاحمية,19655.0,24.45958114,46.29739440
OMDA7415,7415.0,ابو سفيان بن حرب,حي نواره,المزاحمية,19655.0,24.46134358,46.29865639
RMFB2777,2777.0,طريق رياض الخرج,حي المصفاة,الرياض,14571.0,24.45378386,46.98731005
RKDD6608,6608.0,ديراب الفرعي,حي ديراب,الرياض,14969.0,24.49650946,46.62836020
RKDB4459,4459.0,عباس يوسف قطان,حي ديراب,الرياض,14969.0,24.50858522,46.63618056
RKDC7886,7886.0,ديراب الفرعي,حي ديراب,الرياض,14969.0,24.50787488,46.63578683
RLBA2558,2558.0,مسلم,حي بدر,الرياض,14743.0,24.51368715,46.72644262
RKQB3772,3772.0,جده,حي طويق,الرياض,13795.0,24.54435132,46.46721095
RKQB3772,3772.0,جده,حي طويق,الرياض,13795,Error,Error
RKHA3653,3653.0,المشتل,حي الحزم,الرياض,14964.0,24.54653640,46.64979989
RLKC7941,7941.0,ديراب الفرعي,حي عكاظ,الرياض,14723.0,24.53089960,46.65455261
RLBD3579,3579.0,مسلم الفرعى,حي بدر,الرياض,14725.0,24.53534235,46.69301067
RKHA4559,4559.0,المشتل,حي الحزم,الرياض,14964.0,24.54187558,46.65861280
RKHB4613,4613.0,المشتل,حي الحزم,الرياض,14964.0,24.54162894,46.65913841
RKQA2297,2297.0,جدة الفرعي,حي طويق,الرياض,14931.0,24.55644964,46.49989827
RKWC2338,2338.0,نجم الدين الايوبي,حي طويق,الرياض,14927.0,24.55405995,46.55730613
RKWA3732,3732.0,نجم الدين الايوبي,حي طويق,الرياض,14927.0,24.55284897,46.57108817
RLDG7733,7733.0,ابن تيمية,حي بدر,الرياض,14716.0,24.55858306,46.70523804
RMDA7057,7057.0,الحائر الفرعي,حي الدار البيضاء,الرياض,14519.0,24.55247005,46.76377715
RNSA3260,3260.0,ميمانا,المدينة الصناعية الثانية,الرياض,14334.0,24.55165208,46.89057474
RKWF3008,3008.0,سليمان بن عبدالملك بن مروان,حي طويق,الرياض,14928.0,24.56783738,46.54444522
RBDB7388,7388.0,عائشة بنت ابي بكر,حي شبرا,الرياض,12988.0,24.57342412,46.66334947
